Symbol,DateTime,Open,High,Low,Close,Volume,RSI_RSI,MACD_MACD,MACD_MACD_Signal,MACD_MACD_Hist
AAPL,2021-06-16 07:29:00,127.2953,127.3052,127.2953,127.3052,320,,,,
AAPL,2021-06-16 07:28:00,127.2855,127.2953,127.2561,127.2953,2946,,,,
AAPL,2021-06-16 07:27:00,127.3150,127.3150,127.3150,127.3150,650,,,,
AAPL,2021-06-16 07:26:00,127.3836,127.3836,127.3150,127.3150,3723,,,,
AAPL,2021-06-16 07:25:00,127.4523,127.4621,127.4523,127.4621,986,,,,
AAPL,2021-06-16 07:24:00,127.3542,127.4327,127.3542,127.4327,910,,,,
AAPL,2021-06-16 07:23:00,127.4033,127.4131,127.3640,127.3640,3154,,,,
AAPL,2021-06-16 07:22:00,127.4229,127.4719,127.4229,127.4719,387,,,,
AAPL,2021-06-16 07:21:00,127.2953,127.3346,127.2953,127.3346,2850,,,,
AAPL,2021-06-16 07:20:00,127.2757,127.2757,127.2757,127.2757,500,,,,
AAPL,2021-06-16 07:19:00,127.1776,127.2365,127.1776,127.2365,2052,,,,
AAPL,2021-06-16 07:18:00,127.1482,127.1482,127.1482,127.1482,417,,,,
AAPL,2021-06-16 07:17:00,127.1384,127.1384,127.1197,127.1197,500,,,,
AAPL,2021-06-16 07:13:00,127.1384,127.1384,127.1188,127.1188,721,,,,
AAPL,2021-06-16 07:12:00,127.1580,127.1874,127.1482,127.1874,849,,,,
AAPL,2021-06-16 07:11:00,127.1090,127.1580,127.1090,127.1580,2065,,,,
AAPL,2021-06-16 07:10:00,127.0991,127.1090,127.0893,127.0893,400,,,,
AAPL,2021-06-16 07:08:00,127.0893,127.1580,127.0893,127.1580,2428,,,,
AAPL,2021-06-16 07:06:00,127.0893,127.0893,127.0795,127.0795,509,,,,
AAPL,2021-06-16 07:04:00,127.0795,127.0795,127.0795,127.0795,500,,,,
AAPL,2021-06-16 07:03:00,127.0599,127.0599,127.0599,127.0599,171,,,,
AAPL,2021-06-16 07:02:00,127.0697,127.0697,127.0697,127.0697,425,,,,
AAPL,2021-06-16 07:01:00,127.1384,127.1384,127.0893,127.0893,770,,,,
AAPL,2021-06-16 07:00:00,127.1580,127.1580,127.1580,127.1580,626,,,,
AAPL,2021-06-16 06:56:00,127.1874,127.1874,127.1874,127.1874,452,,,,
AAPL,2021-06-16 06:47:00,127.1384,127.1384,127.1384,127.1384,104,,,,
AAPL,2021-06-16 06:43:00,127.1874,127.1874,127.1776,127.1776,300,,,,
AAPL,2021-06-16 06:39:00,127.1776,127.1776,127.1776,127.1776,237,,,,
AAPL,2021-06-16 06:33:00,127.2071,127.2071,127.2071,127.2071,344,,,,
AAPL,2021-06-16 06:30:00,127.2365,127.2365,127.2365,127.2365,389,,,,
AAPL,2021-06-16 06:28:00,127.1776,127.1776,127.1776,127.1776,387,,,,
AAPL,2021-06-16 06:22:00,127.1286,127.1384,127.1286,127.1384,720,,,,
AAPL,2021-06-16 06:12:00,127.0893,127.0893,127.0893,127.0893,200,,,,
AAPL,2021-06-16 06:05:00,127.0403,127.0403,127.0403,127.0403,211,,,,
AAPL,2021-06-16 06:00:00,127.0893,127.0893,127.0893,127.0893,195,,,,
AAPL,2021-06-16 05:51:00,127.1384,127.1384,127.1384,127.1384,365,,,,
AAPL,2021-06-16 05:49:00,127.1384,127.1384,127.1384,127.1384,629,,,,
AAPL,2021-06-16 05:48:00,127.1286,127.1286,127.1286,127.1286,250,,,,
AAPL,2021-06-16 05:44:00,127.1286,127.1384,127.1286,127.1384,385,,,,
AAPL,2021-06-16 05:41:00,127.1090,127.1090,127.0893,127.0893,1175,,,,
AAPL,2021-06-16 05:38:00,127.0697,127.0697,127.0697,127.0697,100,,,,
AAPL,2021-06-16 05:37:00,127.0795,127.0795,127.0795,127.0795,390,,,,
AAPL,2021-06-16 05:34:00,127.1286,127.1286,127.1286,127.1286,100,,,,
AAPL,2021-06-16 05:32:00,127.1286,127.1286,127.1286,127.1286,168,,,,
AAPL,2021-06-16 05:03:00,127.2757,127.2757,127.2659,127.2659,643,,,,
AAPL,2021-06-16 04:55:00,127.2659,127.2659,127.2659,127.2659,400,,,,
AAPL,2021-06-16 04:54:00,127.2757,127.2757,127.2659,127.2659,350,,,,
AAPL,2021-06-16 04:52:00,127.2365,127.2365,127.2365,127.2365,200,,,,
AAPL,2021-06-16 04:50:00,127.2267,127.2267,127.2267,127.2267,199,,,,
AAPL,2021-06-16 04:49:00,127.2169,127.2169,127.2169,127.2169,200,,,,
AAPL,2021-06-16 04:37:00,127.1188,127.1188,127.1188,127.1188,100,,,,
AAPL,2021-06-16 04:35:00,127.0893,127.0893,127.0893,127.0893,1813,,,,
AAPL,2021-06-16 04:30:00,127.0403,127.0599,127.0403,127.0599,444,,,,
AAPL,2021-06-16 04:26:00,127.0403,127.0403,127.0403,127.0403,300,,,,
AAPL,2021-06-16 04:23:00,127.0795,127.0795,127.0795,127.0795,101,,,,
AAPL,2021-06-16 04:22:00,127.0795,127.0795,127.0795,127.0795,100,,,,
AAPL,2021-06-16 04:18:00,126.9520,127.0893,126.9520,127.0893,1275,,,,
AAPL,2021-06-16 04:17:00,127.0501,127.0501,127.0501,127.0501,100,,,,
AAPL,2021-06-16 04:16:00,127.0403,127.0795,127.0403,127.0501,537,,,,
AAPL,2021-06-16 04:13:00,127.0893,127.0893,127.0893,127.0893,393,,,,
AAPL,2021-06-16 04:07:00,127.0403,127.1286,127.0403,127.1286,537,,,,
AAPL,2021-06-16 04:06:00,127.0403,127.0403,127.0305,127.0403,1074,,,,
AAPL,2021-06-16 04:05:00,126.9814,126.9814,126.9814,126.9814,186,,,,
AAPL,2021-06-16 04:03:00,126.9716,126.9716,126.8735,126.8735,200,,,,
AAPL,2021-06-16 04:02:00,126.8735,126.8735,126.8735,126.8735,100,,,,
AAPL,2021-06-16 04:01:00,127.0991,127.0991,126.9422,126.9422,1805,,,,
AAPL,2021-06-16 04:00:00,126.9716,126.9716,126.9716,126.9716,361,,,,
AAPL,2021-06-15 19:59:00,127.2365,127.2365,127.2365,127.2365,1633,,,,
AAPL,2021-06-15 19:58:00,127.2512,127.2512,127.2365,127.2365,4895,,,,
AAPL,2021-06-15 19:57:00,127.2659,127.2659,127.2365,127.2365,700,,,,
AAPL,2021-06-15 19:56:00,127.2463,127.2659,127.2365,127.2659,1833,,,,
AAPL,2021-06-15 19:55:00,127.1776,127.2365,127.1580,127.2365,1682,,,,
AAPL,2021-06-15 19:54:00,127.2071,127.2071,127.2071,127.2071,550,,,,
AAPL,2021-06-15 19:51:00,127.2365,127.2659,127.2365,127.2659,1141,,,,
AAPL,2021-06-15 19:50:00,127.2267,127.2757,127.2169,127.2757,4731,,,,
AAPL,2021-06-15 19:48:00,127.2071,127.2071,127.2071,127.2071,200,,,,
AAPL,2021-06-15 19:47:00,127.1972,127.1972,127.1874,127.1874,260,,,,
AAPL,2021-06-15 19:46:00,127.2267,127.2267,127.2267,127.2267,350,,,,
AAPL,2021-06-15 19:45:00,127.2267,127.2267,127.2267,127.2267,163,,,,
AAPL,2021-06-15 19:43:00,127.2757,127.2855,127.2267,127.2267,329,,,,
AAPL,2021-06-15 19:42:00,127.1972,127.2855,127.1972,127.2365,2319,,,,
AAPL,2021-06-15 19:41:00,127.2365,127.2757,127.2365,127.2757,1466,,,,
AAPL,2021-06-15 19:40:00,127.1874,127.2365,127.1874,127.2365,557,,,,
AAPL,2021-06-15 19:39:00,127.1874,127.2267,127.1482,127.2267,2273,,,,
AAPL,2021-06-15 19:38:00,127.1776,127.1874,127.1776,127.1874,1116,,,,
