Symbol_x,DateTime,Open,High,Low,Close,Volume,RSI,MACD,MACD_Signal,MACD_Hist,title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment,Symbol_y
AAPL,2024-10-16 10:03:00,229.9018,229.9966,229.8568,229.9167,115150,37.7952,-0.3309,-0.3604,0.0294,,,,,,,,,,,,,,
AAPL,2024-10-16 10:04:00,229.9267,230.2763,229.9267,230.1096,168053,43.9935,-0.2966,-0.3476,0.0510,,,,,,,,,,,,,,
AAPL,2024-10-16 10:05:00,230.0965,230.2264,229.9967,230.0366,125146,42.2762,-0.2721,-0.3325,0.0604,,,,,,,,,,,,,,
AAPL,2024-10-16 10:06:00,230.0366,230.2564,230.0266,230.1143,93283,44.7483,-0.2436,-0.3147,0.0711,,,,,,,,,,,,,,
AAPL,2024-10-16 10:07:00,230.1165,230.2064,230.0566,230.1665,95428,46.4067,-0.2144,-0.2947,0.0803,,,,,,,,,,,,,,
AAPL,2024-10-16 10:08:00,230.1565,230.3063,230.1465,230.2514,103481,49.0866,-0.1822,-0.2722,0.0899,,,,,,,,,,,,,,
AAPL,2024-10-16 10:09:00,230.2364,230.4162,230.2364,230.3762,153459,52.8227,-0.1450,-0.2467,0.1017,,,,,,,,,,,,,,
AAPL,2024-10-16 10:10:00,230.3862,230.5421,230.3862,230.4661,129128,55.3625,-0.1071,-0.2188,0.1118,,,,,,,,,,,,,,
AAPL,2024-10-16 10:11:00,230.4696,230.5760,230.3563,230.3762,115166,52.3286,-0.0833,-0.1917,0.1084,,,,,,,,,,,,,,
AAPL,2024-10-16 10:12:00,230.3912,230.6360,230.3163,230.5160,120204,56.3343,-0.0525,-0.1639,0.1114,,,,,,,,,,,,,,
AAPL,2024-10-16 10:13:00,230.5161,230.6379,230.4711,230.5364,131122,56.9030,-0.0262,-0.1363,0.1101,,,,,,,,,,,,,,
AAPL,2024-10-16 10:14:00,230.5411,230.5460,230.1645,230.2564,117535,47.7091,-0.0276,-0.1146,0.0870,,,,,,,,,,,,,,
AAPL,2024-10-16 10:15:00,230.2564,230.3363,230.1265,230.2164,80509,46.5531,-0.0316,-0.0980,0.0664,,,,,,,,,,,,,,
AAPL,2024-10-16 10:16:00,230.1964,230.1964,229.9367,230.0766,108050,42.6574,-0.0455,-0.0875,0.0420,,,,,,,,,,,,,,
AAPL,2024-10-16 10:17:00,230.0566,230.1665,229.9967,230.1600,55312,45.5824,-0.0493,-0.0798,0.0306,,,,,,,,,,,,,,
AAPL,2024-10-16 10:18:00,230.1665,230.1754,229.9690,230.0366,70709,42.1572,-0.0615,-0.0762,0.0147,,,,,,,,,,,,,,
AAPL,2024-10-16 10:19:00,230.0516,230.2963,230.0366,230.2264,84285,48.5611,-0.0552,-0.0720,0.0168,,,,,,,,,,,,,,
AAPL,2024-10-16 10:20:00,230.2064,230.3363,230.1679,230.2870,71972,50.4486,-0.0448,-0.0665,0.0217,,,,,,,,,,,,,,
AAPL,2024-10-16 10:21:00,230.3063,230.4648,230.1648,230.4561,82419,55.3676,-0.0227,-0.0578,0.0351,,,,,,,,,,,,,,
AAPL,2024-10-16 10:22:00,230.4562,230.5061,230.3463,230.4362,99758,54.6771,-0.0066,-0.0475,0.0409,,,,,,,,,,,,,,
AAPL,2024-10-16 10:23:00,230.4212,230.5160,230.3708,230.4761,73120,55.8627,0.0092,-0.0362,0.0454,,,,,,,,,,,,,,
AAPL,2024-10-16 10:24:00,230.4861,230.5261,230.3862,230.4462,56988,54.7068,0.0190,-0.0251,0.0442,,,,,,,,,,,,,,
AAPL,2024-10-16 10:25:00,230.4542,230.7358,230.4542,230.6419,102205,60.4629,0.0422,-0.0117,0.0539,,,,,,,,,,,,,,
AAPL,2024-10-16 10:26:00,230.6360,230.6909,230.5560,230.5760,65411,57.7992,0.0546,0.0016,0.0530,,,,,,,,,,,,,,
AAPL,2024-10-16 10:27:00,230.5860,230.5860,230.3862,230.5171,60152,55.4475,0.0590,0.0131,0.0459,,,,,,,,,,,,,,
AAPL,2024-10-16 10:28:00,230.5061,230.5510,230.3063,230.3163,65293,48.2458,0.0457,0.0196,0.0261,,,,,,,,,,,,,,
AAPL,2024-10-16 10:29:00,230.3063,230.4911,230.2763,230.4758,58750,53.4222,0.0476,0.0252,0.0224,,,,,,,,,,,,,,
AAPL,2024-10-16 10:30:00,230.4561,230.5161,230.3862,230.4961,66881,54.0513,0.0501,0.0302,0.0199,,,,,,,,,,,,,,
AAPL,2024-10-16 10:31:00,230.4960,230.4981,230.3063,230.3163,79095,47.8763,0.0371,0.0315,0.0056,,,,,,,,,,,,,,
AAPL,2024-10-16 10:32:00,230.3163,230.5111,230.3064,230.3662,57678,49.5988,0.0305,0.0313,-0.0008,,,,,,,,,,,,,,
AAPL,2024-10-16 10:33:00,230.3662,230.4601,230.3263,230.3343,55060,48.4943,0.0225,0.0296,-0.0071,,,,,,,,,,,,,,
AAPL,2024-10-16 10:34:00,230.3463,230.4340,230.2664,230.4340,64172,52.0785,0.0238,0.0284,-0.0046,,,,,,,,,,,,,,
AAPL,2024-10-16 10:35:00,230.4362,230.4761,230.2763,230.2963,87040,47.1949,0.0137,0.0255,-0.0118,,,,,,,,,,,,,,
AAPL,2024-10-16 10:36:00,230.2813,230.4661,230.2813,230.3539,58213,49.3337,0.0101,0.0224,-0.0123,,,,,,,,,,,,,,
AAPL,2024-10-16 10:37:00,230.3661,230.4262,230.1815,230.2664,76832,46.2646,0.0003,0.0180,-0.0177,,,,,,,,,,,,,,
AAPL,2024-10-16 10:38:00,230.2714,230.3363,230.1465,230.2264,78149,44.8914,-0.0106,0.0123,-0.0229,,,,,,,,,,,,,,
AAPL,2024-10-16 10:39:00,230.2064,230.2163,229.9967,230.1665,91139,42.8373,-0.0239,0.0050,-0.0289,,,,,,,,,,,,,,
AAPL,2024-10-16 10:40:00,230.1565,230.2863,230.1565,230.1666,51453,42.8420,-0.0339,-0.0028,-0.0312,,,,,,,,,,,,,,
AAPL,2024-10-16 10:41:00,230.1565,230.2464,230.0666,230.0916,66788,40.1739,-0.0474,-0.0117,-0.0357,,,,,,,,,,,,,,
AAPL,2024-10-16 10:42:00,230.0965,230.0965,229.8568,229.8968,71449,34.2153,-0.0730,-0.0239,-0.0490,,,,,,,,,,,,,,
AAPL,2024-10-16 10:43:00,229.8818,229.9767,229.8268,229.9667,92076,37.7828,-0.0866,-0.0365,-0.0501,,,,,,,,,,,,,,
AAPL,2024-10-16 10:44:00,229.9457,230.0466,229.9117,230.0416,64764,41.4466,-0.0903,-0.0472,-0.0431,,,,,,,,,,,,,,
AAPL,2024-10-16 10:45:00,230.0379,230.1565,229.9667,229.9966,75445,39.9241,-0.0958,-0.0570,-0.0388,,,,,,,,,,,,,,
AAPL,2024-10-16 10:46:00,229.9967,230.0166,229.7969,229.9018,81891,36.8561,-0.1065,-0.0669,-0.0397,,,,,,,,,,,,,,
AAPL,2024-10-16 10:47:00,229.9018,229.9567,229.8468,229.8568,63410,35.4644,-0.1173,-0.0770,-0.0404,,,,,,,,,,,,,,
AAPL,2024-10-16 10:48:00,229.8918,230.0366,229.8568,229.9767,64340,41.7779,-0.1149,-0.0846,-0.0303,,,,,,,,,,,,,,
AAPL,2024-10-16 10:49:00,229.9967,230.0766,229.9967,230.0266,56918,44.2263,-0.1077,-0.0892,-0.0185,,,,,,,,,,,,,,
AAPL,2024-10-16 10:50:00,230.0166,230.1165,229.9967,230.0066,69654,43.4394,-0.1024,-0.0918,-0.0106,,,,,,,,,,,,,,
AAPL,2024-10-16 10:51:00,230.0066,230.2863,230.0066,230.2064,80301,52.5343,-0.0812,-0.0897,0.0085,,,,,,,,,,,,,,
AAPL,2024-10-16 10:52:00,230.2164,230.2562,230.1765,230.2414,59941,53.9305,-0.0608,-0.0839,0.0231,,,,,,,,,,,,,,
AAPL,2024-10-16 10:53:00,230.2364,230.2364,230.0466,230.1365,60460,49.2503,-0.0526,-0.0776,0.0251,,,,,,,,,,,,,,
AAPL,2024-10-16 10:54:00,230.1415,230.3962,230.1405,230.3363,89811,56.9192,-0.0295,-0.0680,0.0385,,,,,,,,,,,,,,
AAPL,2024-10-16 10:55:00,230.3463,230.4661,230.3435,230.4462,109093,60.4584,-0.0024,-0.0549,0.0525,,,,,,,,,,,,,,
AAPL,2024-10-16 10:56:00,230.4362,230.4362,230.2464,230.4062,51029,58.5740,0.0157,-0.0408,0.0565,,,,,,,,,,,,,,
AAPL,2024-10-16 10:57:00,230.4027,230.4162,230.2664,230.3263,40521,54.8891,0.0233,-0.0280,0.0513,,,,,,,,,,,,,,
AAPL,2024-10-16 10:58:00,230.3163,230.3213,230.0965,230.1964,56405,49.4456,0.0187,-0.0186,0.0373,,,,,,,,,,,,,,
AAPL,2024-10-16 10:59:00,230.2064,230.2064,230.0566,230.1460,49310,47.4759,0.0108,-0.0127,0.0235,,,,,,,,,,,,,,
AAPL,2024-10-16 11:00:00,230.1465,230.2264,230.0867,230.2064,36087,50.0434,0.0093,-0.0083,0.0177,,,,,,,,,,,,,,
AAPL,2024-10-16 11:01:00,230.2264,230.3563,230.2264,230.3513,49883,55.6403,0.0196,-0.0027,0.0224,,,,,,,,,,,,,,
AAPL,2024-10-16 11:02:00,230.3563,230.3962,230.2564,230.3712,43820,56.3664,0.0291,0.0036,0.0254,,,,,,,,,,,,,,
AAPL,2024-10-16 11:03:00,230.3862,230.4162,230.1864,230.2963,59109,52.8713,0.0301,0.0089,0.0212,,,,,,,,,,,,,,
AAPL,2024-10-16 11:04:00,230.3113,230.4407,230.2913,230.4355,55432,58.0715,0.0417,0.0155,0.0263,,,,,,,,,,,,,,
AAPL,2024-10-16 11:05:00,230.4362,230.5543,230.3962,230.4867,73564,59.8295,0.0544,0.0233,0.0312,,,,,,,,,,,,,,
AAPL,2024-10-16 11:06:00,230.4940,230.5560,230.3263,230.3563,51164,53.6612,0.0534,0.0293,0.0241,,,,,,,,,,,,,,
AAPL,2024-10-16 11:07:00,230.3363,230.4512,230.3163,230.3962,39776,55.1852,0.0551,0.0345,0.0207,,,,,,,,,,,,,,
AAPL,2024-10-16 11:08:00,230.4062,230.4362,230.2763,230.3463,65923,52.8456,0.0519,0.0379,0.0139,,,,,,,,,,,,,,
AAPL,2024-10-16 11:09:00,230.3413,230.4561,230.2164,230.4512,57292,56.9711,0.0571,0.0418,0.0153,,,,,,,,,,,,,,
AAPL,2024-10-16 11:10:00,230.4522,230.5061,230.3063,230.3263,65449,51.2254,0.0506,0.0435,0.0070,,,,,,,,,,,,,,
AAPL,2024-10-16 11:11:00,230.3363,230.4627,230.2963,230.4627,40145,56.4002,0.0558,0.0460,0.0098,,,,,,,,,,,,,,
AAPL,2024-10-16 11:12:00,230.4861,230.5610,230.4561,230.5418,66821,59.1059,0.0655,0.0499,0.0156,,,,,,,,,,,,,,
AAPL,2024-10-16 11:13:00,230.5650,230.7458,230.5460,230.6559,104981,62.7073,0.0815,0.0562,0.0253,,,,,,,,,,,,,,
AAPL,2024-10-16 11:14:00,230.6659,230.7551,230.6559,230.7358,77222,65.0286,0.0995,0.0649,0.0346,,,,,,,,,,,,,,
AAPL,2024-10-16 11:15:00,230.7556,230.7958,230.6759,230.7760,76267,66.1683,0.1157,0.0750,0.0406,,,,,,,,,,,,,,
AAPL,2024-10-16 11:16:00,230.7758,230.8907,230.7358,230.7558,82188,65.0216,0.1254,0.0851,0.0403,,,,,,,,,,,,,,
AAPL,2024-10-16 11:17:00,230.7458,230.7558,230.6659,230.6659,45274,60.0303,0.1244,0.0930,0.0314,,,,,,,,,,,,,,
AAPL,2024-10-16 11:18:00,230.6759,230.7159,230.5660,230.5760,67942,55.4465,0.1151,0.0974,0.0177,,,,,,,,,,,,,,
AAPL,2024-10-16 11:19:00,230.5859,230.6260,230.5161,230.5660,41839,54.9445,0.1056,0.0990,0.0066,,,,,,,,,,,,,,
AAPL,2024-10-16 11:20:00,230.5878,230.7358,230.5878,230.7308,43853,61.1886,0.1102,0.1013,0.0089,,,,,,,,,,,,,,
AAPL,2024-10-16 11:21:00,230.7259,230.7658,230.5860,230.5860,66987,54.0938,0.1009,0.1012,-0.0003,,,,,,,,,,,,,,
AAPL,2024-10-16 11:22:00,230.5710,230.5845,230.4561,230.4709,47140,49.2117,0.0833,0.0976,-0.0143,,,,,,,,,,,,,,
AAPL,2024-10-16 11:23:00,230.4761,230.4946,230.3463,230.3564,57737,44.8696,0.0595,0.0900,-0.0305,,,,,,,,,,,,,,
AAPL,2024-10-16 11:24:00,230.3619,230.3962,230.2963,230.3163,84825,43.4269,0.0369,0.0794,-0.0425,,,,,,,,,,,,,,
AAPL,2024-10-16 11:25:00,230.3199,230.3363,230.2202,230.2614,58057,41.4580,0.0144,0.0664,-0.0520,,,,,,,,,,,,,,
AAPL,2024-10-16 11:26:00,230.2614,230.2863,230.2064,230.2364,56766,40.5579,-0.0053,0.0520,-0.0574,,,,,,,,,,,,,,
AAPL,2024-10-16 11:27:00,230.2366,230.2453,230.1365,230.2214,64306,39.9968,-0.0220,0.0372,-0.0592,,,,,,,,,,,,,,
AAPL,2024-10-16 11:28:00,230.2164,230.2664,230.1565,230.2514,40534,41.7331,-0.0323,0.0233,-0.0557,,,,,,,,,,,,,,
AAPL,2024-10-16 11:29:00,230.2514,230.3379,230.2365,230.3313,57755,46.2035,-0.0337,0.0119,-0.0456,,,,,,,,,,,,,,
AAPL,2024-10-16 11:30:00,230.3263,230.3662,230.1299,230.1765,100275,39.8276,-0.0468,0.0002,-0.0470,,,,,,,,,,,,,,
AAPL,2024-10-16 11:31:00,230.1709,230.3063,230.1465,230.3063,42394,46.4963,-0.0461,-0.0091,-0.0370,,,,,,,,,,,,,,
AAPL,2024-10-16 11:32:00,230.3263,230.3563,230.2514,230.3262,40199,47.4563,-0.0435,-0.0160,-0.0275,,,,,,,,,,,,,,
AAPL,2024-10-16 11:33:00,230.3163,230.4442,230.2925,230.4262,59807,52.1109,-0.0330,-0.0194,-0.0136,,,,,,,,,,,,,,
AAPL,2024-10-16 11:34:00,230.4162,230.4761,230.4162,230.4566,53285,53.4636,-0.0219,-0.0199,-0.0020,,,,,,,,,,,,,,
AAPL,2024-10-16 11:35:00,230.4661,230.5261,230.4362,230.4961,68181,55.2274,-0.0098,-0.0179,0.0080,,,,,,,,,,,,,,
AAPL,2024-10-16 11:36:00,230.4961,230.5161,230.3862,230.4412,55912,52.2574,-0.0047,-0.0152,0.0106,,,,,,,,,,,,,,
AAPL,2024-10-16 11:37:00,230.4561,230.5261,230.4512,230.5061,41544,55.3158,0.0046,-0.0113,0.0159,,,,,,,,,,,,,,
AAPL,2024-10-16 11:38:00,230.5161,230.6559,230.5161,230.6459,66552,61.0965,0.0230,-0.0044,0.0274,,,,,,,,,,,,,,
AAPL,2024-10-16 11:39:00,230.6559,230.6759,230.5760,230.6210,49190,59.6134,0.0352,0.0035,0.0316,,,,,,,,,,,,,,
AAPL,2024-10-16 11:40:00,230.6160,230.6659,230.5963,230.6176,33836,59.4022,0.0440,0.0116,0.0324,,,,,,,,,,,,,,
AAPL,2024-10-16 11:41:00,230.6160,230.7059,230.5860,230.6731,48356,61.7863,0.0549,0.0203,0.0346,,,,,,,,,,,,,,
AAPL,2024-10-16 11:42:00,230.6639,230.6679,230.5660,230.5711,36282,55.3574,0.0546,0.0271,0.0275,,,,,,,,,,,,,,
AAPL,2024-10-16 11:43:00,230.5661,230.5661,230.4761,230.5281,44979,52.8571,0.0503,0.0318,0.0186,,,,,,,,,,,,,,
AAPL,2024-10-16 11:44:00,230.5361,230.5460,230.3762,230.3812,63188,45.3360,0.0347,0.0324,0.0024,,,,,,,,,,,,,,
AAPL,2024-10-16 11:45:00,230.3812,230.3812,230.1265,230.1963,104100,38.0032,0.0073,0.0274,-0.0200,,,,,,,,,,,,,,
AAPL,2024-10-16 11:46:00,230.2063,230.2763,230.1765,230.1847,41909,37.5929,-0.0151,0.0189,-0.0340,,,,,,,,,,,,,,
AAPL,2024-10-16 11:47:00,230.1765,230.2264,230.1115,230.1293,53744,35.6115,-0.0370,0.0077,-0.0447,,,,,,,,,,,,,,
AAPL,2024-10-16 11:48:00,230.1365,230.1964,230.0766,230.1963,45106,39.7463,-0.0483,-0.0035,-0.0448,,,,,,,,,,,,,,
AAPL,2024-10-16 11:49:00,230.1964,230.2451,230.0316,230.0365,65247,34.1199,-0.0694,-0.0167,-0.0527,,,,,,,,,,,,,,
AAPL,2024-10-16 11:50:00,230.0366,230.0865,229.9667,229.9767,53038,32.2777,-0.0899,-0.0313,-0.0586,,,,,,,,,,,,,,
AAPL,2024-10-16 11:51:00,229.9767,230.0366,229.9567,229.9767,49206,32.2777,-0.1050,-0.0461,-0.0589,,,,,,,,,,,,,,
AAPL,2024-10-16 11:52:00,229.9667,229.9967,229.8868,229.9667,42486,31.9438,-0.1163,-0.0601,-0.0562,,,,,,,,,,,,,,
AAPL,2024-10-16 11:53:00,229.9744,230.0066,229.9367,229.9847,53305,33.2817,-0.1225,-0.0726,-0.0499,,,,,,,,,,,,,,
AAPL,2024-10-16 11:54:00,229.9817,230.0866,229.8868,229.9068,66316,30.4849,-0.1321,-0.0845,-0.0476,,,,,,,,,,,,,,
AAPL,2024-10-16 11:55:00,229.9068,229.9667,229.8570,229.9367,45392,32.8232,-0.1358,-0.0948,-0.0410,,,,,,,,,,,,,,
AAPL,2024-10-16 11:56:00,229.9222,229.9925,229.9038,229.9867,61232,36.6480,-0.1331,-0.1024,-0.0307,,,,,,,,,,,,,,
AAPL,2024-10-16 11:57:00,229.9891,230.0166,229.9068,229.9267,35355,34.1363,-0.1343,-0.1088,-0.0255,,,,,,,,,,,,,,
AAPL,2024-10-16 11:58:00,229.9217,230.0066,229.9167,229.9667,36313,37.2252,-0.1305,-0.1132,-0.0174,,,,,,,,,,,,,,
